"epoch","summer-salad-2026 - _step","summer-salad-2026 - _step__MIN","summer-salad-2026 - _step__MAX","summer-salad-2026 - stage 2 train loss","summer-salad-2026 - stage 2 train loss__MIN","summer-salad-2026 - stage 2 train loss__MAX"
"0","1","1","1","11.731098175048828","11.731098175048828","11.731098175048828"
"1","6","6","6","11.731104850769043","11.731104850769043","11.731104850769043"
"2","11","11","11","11.731114387512207","11.731114387512207","11.731114387512207"
"3","16","16","16","11.731118202209473","11.731118202209473","11.731118202209473"
"4","21","21","21","11.731124877929688","11.731124877929688","11.731124877929688"
"5","26","26","26","11.731124877929688","11.731124877929688","11.731124877929688"
"6","31","31","31","11.731122016906738","11.731122016906738","11.731122016906738"
"7","36","36","36","11.731104850769043","11.731104850769043","11.731104850769043"
"8","41","41","41","11.731071472167969","11.731071472167969","11.731071472167969"
"9","46","46","46","11.7310152053833","11.7310152053833","11.7310152053833"
"10","51","51","51","11.73091983795166","11.73091983795166","11.73091983795166"
"11","56","56","56","11.730772018432617","11.730772018432617","11.730772018432617"
"12","61","61","61","11.730537414550781","11.730537414550781","11.730537414550781"
"13","66","66","66","11.730193138122559","11.730193138122559","11.730193138122559"
"14","71","71","71","11.729705810546875","11.729705810546875","11.729705810546875"
"15","76","76","76","11.72901439666748","11.72901439666748","11.72901439666748"
"16","81","81","81","11.7280855178833","11.7280855178833","11.7280855178833"
"17","86","86","86","11.7269287109375","11.7269287109375","11.7269287109375"
"18","91","91","91","11.725540161132812","11.725540161132812","11.725540161132812"
"19","96","96","96","11.723899841308594","11.723899841308594","11.723899841308594"
"20","101","101","101","11.7219877243042","11.7219877243042","11.7219877243042"
"21","106","106","106","11.719878196716309","11.719878196716309","11.719878196716309"
"22","111","111","111","11.717658042907715","11.717658042907715","11.717658042907715"
"23","116","116","116","11.715446472167969","11.715446472167969","11.715446472167969"
"24","121","121","121","11.71320629119873","11.71320629119873","11.71320629119873"
"25","126","126","126","11.711024284362793","11.711024284362793","11.711024284362793"
"26","131","131","131","11.709019660949707","11.709019660949707","11.709019660949707"
"27","136","136","136","11.707178115844727","11.707178115844727","11.707178115844727"
"28","141","141","141","11.70547866821289","11.70547866821289","11.70547866821289"
"29","146","146","146","11.703917503356934","11.703917503356934","11.703917503356934"
"30","151","151","151","11.702442169189453","11.702442169189453","11.702442169189453"
"31","156","156","156","11.701078414916992","11.701078414916992","11.701078414916992"
"32","161","161","161","11.6998291015625","11.6998291015625","11.6998291015625"
"33","166","166","166","11.698708534240723","11.698708534240723","11.698708534240723"
"34","171","171","171","11.697702407836914","11.697702407836914","11.697702407836914"
"35","176","176","176","11.696778297424316","11.696778297424316","11.696778297424316"
"36","181","181","181","11.69590950012207","11.69590950012207","11.69590950012207"
"37","186","186","186","11.695133209228516","11.695133209228516","11.695133209228516"
"38","191","191","191","11.694402694702148","11.694402694702148","11.694402694702148"
"39","196","196","196","11.693693161010742","11.693693161010742","11.693693161010742"
"40","201","201","201","11.693013191223145","11.693013191223145","11.693013191223145"
"41","206","206","206","11.692338943481445","11.692338943481445","11.692338943481445"
"42","211","211","211","11.691671371459961","11.691671371459961","11.691671371459961"
"43","216","216","216","11.690997123718262","11.690997123718262","11.690997123718262"
"44","221","221","221","11.690309524536133","11.690309524536133","11.690309524536133"
"45","226","226","226","11.689600944519043","11.689600944519043","11.689600944519043"
"46","231","231","231","11.688895225524902","11.688895225524902","11.688895225524902"
"47","236","236","236","11.688192367553711","11.688192367553711","11.688192367553711"
"48","241","241","241","11.687482833862305","11.687482833862305","11.687482833862305"
"49","246","246","246","11.686781883239746","11.686781883239746","11.686781883239746"
"50","251","251","251","11.686076164245605","11.686076164245605","11.686076164245605"
"51","256","256","256","11.685397148132324","11.685397148132324","11.685397148132324"
"52","261","261","261","11.684738159179688","11.684738159179688","11.684738159179688"
"53","266","266","266","11.684077262878418","11.684077262878418","11.684077262878418"
"54","271","271","271","11.68342113494873","11.68342113494873","11.68342113494873"
"55","276","276","276","11.682782173156738","11.682782173156738","11.682782173156738"
"56","281","281","281","11.682153701782227","11.682153701782227","11.682153701782227"
"57","286","286","286","11.681510925292969","11.681510925292969","11.681510925292969"
"58","291","291","291","11.680879592895508","11.680879592895508","11.680879592895508"
"59","296","296","296","11.680257797241211","11.680257797241211","11.680257797241211"
"60","301","301","301","11.679658889770508","11.679658889770508","11.679658889770508"
"61","306","306","306","11.679083824157715","11.679083824157715","11.679083824157715"
